gene names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
cel-let-7-5p,111.97301921794684,-0.38064853897921974,0.5568105765631176,-0.6836230398652837,0.49421323204293716,0.7623811387379906
cel-lin-4-3p,8.6379732864912,1.7929399684190168,0.8736963849625062,2.0521316091927733,0.04015687375964727,0.2810981163175309
cel-lin-4-5p,4.435757744448142,-2.8467017795885687,1.0574177489366736,-2.6921259667252393,0.007099812362165806,0.08342279525544821
cel-lsy-6-3p,285.28569691201153,0.24850906673429551,0.5674654232967314,0.43792812131277375,0.6614383895373364,0.8533852163050341
cel-miR-1-3p,11290.58729289642,-0.09873742949563667,0.6135405774063467,-0.1609305612890915,0.8721480915905528,0.946985881628026
cel-miR-1-5p,218.6842116485542,-0.26638335688125286,0.5547036350788128,-0.4802264489278223,0.631066381864801,0.831151833509686
cel-miR-1018,34.32744518471557,0.8791621811115056,0.7861015564744543,1.1183824454621536,0.263403688482919,0.5449470246129274
cel-miR-1019-3p,1.5884891447266607,-0.9947018299288821,1.331407491102064,-0.7471054779070863,0.45499989384161854,0.7337988484014338
cel-miR-1019-5p,3.74469236746532,-0.2598077543933802,0.9879836659403819,-0.262967661662797,0.7925755043771496,0.9193894141157597
cel-miR-1020-3p,3.0195461227467995,-0.21595121705289747,1.005049780092493,-0.21486619004386417,0.8298716456521809,0.9307426979125369
cel-miR-1020-5p,1.6225000961940568,-0.7710232956389723,1.2894789063968186,-0.5979340118043784,0.5498839644475917,0.7831680705768731
cel-miR-1022-3p,2.0567615731895983,-0.6882826375480434,1.3381141397677234,-0.514367659000688,0.6069949660108099,0.8201170361106456
cel-miR-1022-5p,30.430055768894267,0.5320227368945294,0.6680431928051243,0.796389728425429,0.4258055465657402,0.7220732170698182
cel-miR-124-3p,841.6544602929058,0.43103417178748993,0.5380297602341464,0.80113444207976,0.4230538188991459,0.7220732170698182
cel-miR-124-5p,17.68036208072219,-1.2308992496367044,0.697427181916128,-1.764914361747276,0.07757815960272209,0.37534138984258186
cel-miR-1817,4.566087467472827,-1.906108883096761,0.9648257972814375,-1.9755990029159154,0.04820021166901709,0.2953258733552347
cel-miR-1818,1.3411610521318833,0.504794479521003,1.4204070360777044,0.3553872000767728,0.7222995367000051,0.8839069138220189
cel-miR-1819-3p,61.356203820494294,-0.3116470647628564,0.5654370641616618,-0.5511613661635641,0.581523061327138,0.797171196569285
cel-miR-1820-3p,5.509877162048091,-0.0005300030781842697,1.0284700214964455,-0.0005153315771062575,0.9995888249091318,0.9995888249091318
cel-miR-1820-5p,65.44758131155398,-0.5101007645308223,0.6611358383649626,-0.7715521303342727,0.4403797355904111,0.7224431932115907
cel-miR-1821-3p,56.93827545350095,-2.2750041441726068,0.7666074040019669,-2.967626104700092,0.0030010914821622732,0.05196626829638883
cel-miR-1822-3p,56.88167800280025,-0.11834531164590735,0.5894728635857853,-0.20076464746147674,0.8408826072985947,0.9307426979125369
cel-miR-1822-5p,147.22087462736076,1.0326336449160143,0.7469020813588106,1.3825555861852508,0.1668011753312489,0.4694590969228415
cel-miR-1823-3p,130.81966347625232,-0.2645612872201611,0.5409775265180683,-0.489043027208497,0.6248112351498694,0.831151833509686
cel-miR-1823-5p,5.146205182301998,-3.0572362757311193,1.0667148625585883,-2.8660295108274108,0.004156554962834641,0.057185141456734756
cel-miR-1824-5p,5.0661522086449,-0.9127649449459082,0.9851709343145565,-0.9265041356310156,0.3541840488752345,0.647369733777512
cel-miR-1828,1.6109713652905582,-0.3424934811911301,1.3473752441191424,-0.25419309333907053,0.7993463861278397,0.9193894141157597
cel-miR-1829a-3p,51.27028222221669,-1.033669112832335,0.7556381148942819,-1.3679419982367502,0.171330232264552,0.4694590969228415
cel-miR-1829a-5p,122.88353305291186,0.5750773404950019,0.5129281912024721,1.1211653996767692,0.2622174647342092,0.5449470246129274
cel-miR-1829b-3p,16.803010367976157,-1.0111796943265015,0.7480987120765294,-1.3516661344326164,0.17648214335647078,0.4694590969228415
cel-miR-1829b-5p,65.05957845984821,-0.10970436991983322,0.8510446441205456,-0.12890554059381898,0.8974323924907962,0.9680500233753178
cel-miR-1829c-3p,14.790003867694544,-1.0192130566833213,0.7440632003174288,-1.369793663022858,0.17075132077325145,0.4694590969228415
cel-miR-1829c-5p,452.71510723670906,-0.7572252387077953,0.6375298448428968,-1.18774869103484,0.2349324343693899,0.5222484520779005
cel-miR-1830-3p,18.680800002665404,-2.771220600052361,1.0147559689684562,-2.730923182318827,NA,NA
cel-miR-1830-5p,29.979575915266892,-0.01808868110154253,0.5767311471774921,-0.03136414807847311,0.9749791327646774,0.9900251070357373
cel-miR-1832a-3p,179.97944934819014,1.0044417112918027,0.5917994442418024,1.6972670742850502,0.08964617916112601,0.3777301991221966
cel-miR-1832a-5p,3.345706916455757,-0.27367814869427604,0.9600390318737844,-0.2850698144638106,0.7755906555256318,0.9116339047137876
cel-miR-1832b-3p,42.796863826069675,-0.7406250575102227,0.592157799188827,-1.2507224569612607,0.21103575428013152,0.4959340225583091
cel-miR-1832b-5p,6.783423332669773,-0.4603332175266881,0.8183178102525358,-0.5625359875579728,0.5737508914887477,0.7913331653604525
cel-miR-1833,7.428597347118224,-0.7304978075169127,0.8078307063367993,-0.904270909469929,0.3658517681799916,0.657733506727963
cel-miR-2-3p,12444.339771997376,-0.5795973902021581,0.6196779769787426,-0.9353202981780979,NA,NA
cel-miR-2-5p,394.7127621111813,-0.9498242660458659,0.5963280449933033,-1.5927881876770233,0.11120771593101483,0.40922729077600734
